comment_id,event_id
0FwzamKdI17lAk7ToGLq,zDLn38DfCkx1JTQfW7bl
0FwzamKdI17lAk7ToGLq,ah0Io8qTy2I6RjsTHTeS
0Jg4mGkOFsRxod7wCiq8,FLuzAE5dm4qazOoE4QaF
0Jg4mGkOFsRxod7wCiq8,HTmIYhVrz22i3PjxdS0h
0OX4wrogQcZzc9VYWXsa,zDLn38DfCkx1JTQfW7bl
0OX4wrogQcZzc9VYWXsa,AkUH6sty9Lv2WuTTXRD9
0TAJFX3U2X97Uu9U4paa,FLuzAE5dm4qazOoE4QaF
0ThNahMU1b2LXwUr6v2P,FLuzAE5dm4qazOoE4QaF
0Z9YH0ZXFXGsnc3TUS30,FLuzAE5dm4qazOoE4QaF
0Z9YH0ZXFXGsnc3TUS30,wIKPzNydyOA8KbRKHE5a
0byiVBTYWiufZShxLens,FLuzAE5dm4qazOoE4QaF
0dYNkhTK9vQECyPtUmw9,FLuzAE5dm4qazOoE4QaF
1Ds7itj1Jqtebi2DKSPf,FLuzAE5dm4qazOoE4QaF
1Fvy1PAj7K6JefxvoKhD,XtVckzGBhhXrczpk2wBW
1IBVgejIl59xxhuZZTxn,FLuzAE5dm4qazOoE4QaF
1WdfIKqxdf6Bu6truJpC,FLuzAE5dm4qazOoE4QaF
1dqAVHNlv9C5hTskoU0n,XtVckzGBhhXrczpk2wBW
1eNOxxIBFyJsDjJgAnns,FLuzAE5dm4qazOoE4QaF
1o1C3PPCHxm4LWK9sKRz,FLuzAE5dm4qazOoE4QaF
1oPpxh4IPCI4Qosqi6Oe,FLuzAE5dm4qazOoE4QaF
1wVZ9dJdghCbiibyjjhT,FLuzAE5dm4qazOoE4QaF
21xzPjI0y5gi4Aph4m30,Ri7THJYVq8VeyDjrJZS8
29hh88S9mdWtZKHCq81w,FLuzAE5dm4qazOoE4QaF
2BudDxi5LOqpoI5mSY1W,FLuzAE5dm4qazOoE4QaF
2DLIkmGi9QD7O0DFCX6M,Ri7THJYVq8VeyDjrJZS8
2IYwMTNCuKiBvg5CrRng,XtVckzGBhhXrczpk2wBW
2IYwMTNCuKiBvg5CrRng,ah0Io8qTy2I6RjsTHTeS
2JF1mfc4itr32VkF0rw6,FLuzAE5dm4qazOoE4QaF
2RG6qc2tztDlZvp1tvOF,FLuzAE5dm4qazOoE4QaF
2YrIjZBWcnae1K9T2lyO,FLuzAE5dm4qazOoE4QaF
2YrIjZBWcnae1K9T2lyO,vXyzxEkaeEFoAcKQEeia
2kzHxeeLZMZrNsMMtEO1,FLuzAE5dm4qazOoE4QaF
2oTgVMnu79oIKsm5Vg8L,FLuzAE5dm4qazOoE4QaF
2qHMh3tWHIyUfluO5wGI,FLuzAE5dm4qazOoE4QaF
34O9apAzLZnufCje8FBU,FLuzAE5dm4qazOoE4QaF
38dFaF7XRwgMJPWEHQMH,FLuzAE5dm4qazOoE4QaF
3LsaCn2VOnpowHnit8AK,FLuzAE5dm4qazOoE4QaF
3Nd3Mhgbg5c2OMgIaFKV,FLuzAE5dm4qazOoE4QaF
3Nd3Mhgbg5c2OMgIaFKV,vXyzxEkaeEFoAcKQEeia
3RVRhk13WGME6sRVAHbi,FLuzAE5dm4qazOoE4QaF
3f6xflafqY193qEJofSD,FLuzAE5dm4qazOoE4QaF
3x4Sj02hli6Lad5vqgih,FLuzAE5dm4qazOoE4QaF
41P0raW72m7NROWaKKHH,FLuzAE5dm4qazOoE4QaF
479kPEmbjn8xopPmhPWz,FLuzAE5dm4qazOoE4QaF
479kPEmbjn8xopPmhPWz,vXyzxEkaeEFoAcKQEeia
4JP4RkQa9wFHvjR5mKM9,FLuzAE5dm4qazOoE4QaF
